epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,268.679,0.88369,8.37905,0.00762,0.51667,0.20171,0.16196,0.12794,0.79157,2.27396,0.00792,0.00997908,0.00332636,0.00997908,0.00332636,0.00997908,0.00332636,0.00997908,0.00332636
2,462.125,0.95953,5.79684,0.00826,0.32872,0.34589,0.31104,0.2404,0.87526,1.78772,0.00882,0.0197813,0.00659376,0.0197813,0.00659376,0.0197813,0.00659376,0.0197813,0.00659376
3,638.475,1.06267,3.47681,0.00957,0.32932,0.41635,0.31578,0.23631,0.96976,2.03266,0.01087,0.0293855,0.00979516,0.0293855,0.00979516,0.0293855,0.00979516,0.0293855,0.00979516
4,807.725,1.11857,2.19235,0.01013,0.50642,0.39369,0.40669,0.30834,0.97674,1.62599,0.01199,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,976.91,1.07606,1.73997,0.00971,0.44995,0.54541,0.447,0.3402,0.92344,1.36937,0.01128,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1146.47,1.07571,1.59159,0.0098,0.43313,0.60255,0.53481,0.40466,0.92688,1.14103,0.01023,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1315.32,1.03888,1.48248,0.00931,0.40994,0.55469,0.49439,0.38912,0.89284,1.15925,0.0098,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1484.47,1.02132,1.41912,0.00916,0.45676,0.5864,0.52014,0.41218,0.83043,1.1012,0.0091,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1653.52,0.99497,1.34547,0.00877,0.45449,0.62402,0.56041,0.45024,0.82525,1.0893,0.00907,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1823.1,0.98894,1.29503,0.00865,0.47454,0.63403,0.59714,0.47662,0.83148,1.03282,0.00884,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1993.38,0.98501,1.26149,0.00867,0.55262,0.68835,0.63387,0.50986,0.789,0.90217,0.00821,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2162.26,0.97228,1.22893,0.00839,0.49845,0.64732,0.58419,0.47614,0.7761,0.9149,0.00837,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2332.2,0.94675,1.20731,0.00821,0.5189,0.69994,0.62041,0.50582,0.77441,0.96555,0.00783,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2502.33,0.95017,1.16218,0.00832,0.58317,0.64624,0.61353,0.49361,0.79795,0.93482,0.00822,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2671.6,0.93918,1.14115,0.00815,0.51303,0.72263,0.62769,0.51277,0.75877,0.8318,0.0078,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2840.33,0.93087,1.12177,0.00787,0.49262,0.7695,0.63645,0.51741,0.78619,0.83329,0.00864,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3010.36,0.90959,1.08716,0.00787,0.5025,0.74396,0.62945,0.51771,0.742,0.92784,0.00784,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3175.3,0.92313,1.06947,0.00787,0.60813,0.66408,0.65664,0.53839,0.74855,0.84176,0.00734,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3340.03,0.91108,1.06424,0.0078,0.50898,0.74577,0.64357,0.53406,0.73783,0.85814,0.00737,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3505.1,0.91394,1.02097,0.0077,0.60066,0.6903,0.66472,0.54289,0.75257,0.78771,0.00836,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3670.16,0.90071,1.01837,0.00769,0.52803,0.62849,0.61209,0.51254,0.71646,0.87182,0.00719,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3835.11,0.9051,1.00278,0.00783,0.56487,0.71399,0.66903,0.54996,0.7413,0.78391,0.00756,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3999.86,0.89847,0.99156,0.00761,0.59606,0.64131,0.65177,0.54197,0.70778,0.79861,0.00685,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4165.06,0.88902,0.96552,0.00745,0.5319,0.74908,0.66921,0.55702,0.70252,0.79825,0.00676,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4330.38,0.88464,0.95262,0.00753,0.62282,0.68562,0.6858,0.57036,0.69869,0.77538,0.00672,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4494.95,0.87286,0.92703,0.00732,0.6606,0.67063,0.68641,0.56356,0.72826,0.73298,0.00737,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4661.89,0.86948,0.90232,0.00733,0.56943,0.75368,0.69365,0.58223,0.70068,0.75583,0.00676,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
