epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,571.306,0.79019,0.91261,0.01042,0.59963,0.75481,0.70489,0.59917,0.67555,0.73735,0.01066,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,703.846,0.78451,0.88951,0.01053,0.65908,0.71415,0.72107,0.60923,0.66466,0.73324,0.01066,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,835.479,0.78086,0.88426,0.01045,0.6297,0.71474,0.72778,0.61697,0.68159,0.7538,0.01086,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,966.347,0.77648,0.85162,0.01036,0.61531,0.7102,0.71819,0.6084,0.66809,0.72761,0.01077,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1097.69,0.77833,0.85591,0.01032,0.65122,0.71453,0.72685,0.61187,0.67868,0.78179,0.01066,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1228.46,0.76619,0.83064,0.01021,0.58574,0.75604,0.71211,0.60081,0.67086,0.73583,0.01045,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1359.48,0.76438,0.81981,0.01019,0.6203,0.66758,0.70309,0.59421,0.65629,0.75941,0.01026,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1490.7,0.7664,0.81565,0.01013,0.64375,0.70519,0.71669,0.60661,0.65758,0.73173,0.01041,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1622,0.76263,0.81154,0.01002,0.62862,0.68549,0.7053,0.59301,0.66167,0.75536,0.01032,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1753.43,0.75155,0.8173,0.00983,0.60811,0.74461,0.71992,0.61414,0.65789,0.76213,0.01032,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1885.13,0.75052,0.80248,0.00997,0.59796,0.76407,0.71663,0.60887,0.65209,0.72307,0.01024,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2017.09,0.764,0.79328,0.01007,0.62401,0.74288,0.69793,0.59187,0.65236,0.74408,0.01016,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2148.11,0.75174,0.78011,0.00993,0.61442,0.75492,0.71637,0.60524,0.66759,0.75174,0.01059,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2278.71,0.75123,0.76948,0.01001,0.63594,0.72865,0.71356,0.61068,0.65314,0.75958,0.01018,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2409.67,0.74503,0.76159,0.00978,0.60668,0.72982,0.71561,0.61016,0.64991,0.75332,0.01004,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2540.27,0.7319,0.75992,0.0097,0.59019,0.77093,0.73745,0.62483,0.64834,0.7379,0.01004,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2671.56,0.74603,0.74386,0.0097,0.6256,0.72909,0.72958,0.61785,0.65318,0.74568,0.01013,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2803.41,0.7342,0.73981,0.0097,0.61393,0.72331,0.71368,0.60757,0.64231,0.78094,0.00985,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2934.49,0.73253,0.72563,0.00962,0.5944,0.75869,0.74018,0.63193,0.64378,0.75834,0.0099,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
